Date,Close
9/8/16,104.06
9/9/16,103.99
9/10/16,102.11
9/11/16,102.53
9/12/16,102.82
9/13/16,104.22
9/14/16,105.49
9/15/16,105.88
9/16/16,106.53
9/17/16,106.9
9/18/16,106.74
9/19/16,107.65
9/20/16,108.68
9/21/16,110.06
9/22/16,108.19
9/23/16,104.99
9/24/16,105.12
9/25/16,105.08
9/26/16,102.42
9/27/16,102.07
9/28/16,103.88
9/29/16,103.91
9/30/16,104.74
10/1/16,104.5
10/2/16,105.93
10/3/16,104.19
10/4/16,104.13
10/5/16,103.89
10/6/16,104.06
10/7/16,103.93
10/8/16,101.03
10/9/16,101.98
10/10/16,100.21
10/11/16,100.31
10/12/16,100.11
10/13/16,101.17
10/14/16,99.65
10/15/16,100.35
10/16/16,100.71
10/17/16,100.73
10/18/16,100.8
10/19/16,100.7
10/20/16,100.99
10/21/16,101.35
10/22/16,102
10/23/16,102.24
10/24/16,102.4
10/25/16,102.85
10/26/16,102.71
10/27/16,103.06
10/28/16,103.04
10/29/16,104.06
10/30/16,103.34
10/31/16,104.19
11/1/16,105.13
11/2/16,103.49
11/3/16,103.66
11/4/16,105.02
11/5/16,106.17
11/6/16,103.95
11/7/16,101.35
11/8/16,99.52
11/9/16,99.4
11/10/16,100.07
11/11/16,100.4
11/12/16,100.3
11/13/16,97.84
11/14/16,98.03
11/15/16,99.08
11/16/16,102
11/17/16,100.43
11/18/16,99.95
11/19/16,100.66
11/20/16,100.71
11/21/16,100.23
11/22/16,103.64
11/23/16,103.58
11/24/16,103.8
11/25/16,102.28
11/26/16,101.8
11/27/16,101.76
11/28/16,103.43
11/29/16,104.63
11/30/16,105.08
12/1/16,106.77
12/2/16,106.39
12/3/16,105.39
12/4/16,105.54
12/5/16,107.35
12/6/16,107.69
12/7/16,107.57
12/8/16,107.88
12/9/16,108.87
12/10/16,108.07
12/11/16,108.36
12/12/16,110
12/13/16,110.26
12/14/16,110.53
12/15/16,109.4
12/16/16,108.82
12/17/16,111.27
12/18/16,111.76
12/19/16,112.76
12/20/16,114.08
12/21/16,114.13
12/22/16,114.46
12/23/16,115.11
12/24/16,114.75
12/25/16,115.04
12/26/16,115.77
12/27/16,115.2
12/28/16,115.02
12/29/16,115.31
12/30/16,116.81
12/31/16,116.33
1/1/17,118.81
1/2/17,118.87
1/3/17,118.52
1/4/17,119.48
1/5/17,120.16
1/6/17,119.64
1/7/17,121.55
1/8/17,121.98
1/9/17,120.89
1/10/17,119.98
1/11/17,118.81
1/12/17,120.11
1/13/17,120.39
1/14/17,123.06
1/15/17,122.26
1/16/17,124.38
1/17/17,125.48
1/18/17,125.91
1/19/17,127.62
1/20/17,126.39
1/21/17,126.5
1/22/17,126.93
1/23/17,126.9
1/24/17,126.49
1/25/17,127
1/26/17,126.86
1/27/17,127.73
1/28/17,127.53
1/29/17,127.3
1/30/17,127.85
1/31/17,129.32
2/1/17,128.57
2/2/17,128.76
2/3/17,128.47
2/4/17,127.72
2/5/17,129.82
2/6/17,133.34
2/7/17,133.14
2/8/17,133.84
2/9/17,133.95
2/10/17,133.97
2/11/17,133.3
2/12/17,136.25
2/13/17,136.57
2/14/17,135.73
2/15/17,133.75
2/16/17,136.45
