Date,Close
5/1/16,69.16
5/2/16,69.78
5/3/16,69.79
5/4/16,71.1
5/5/16,71.39
5/6/16,71.23
5/7/16,70.49
5/8/16,71.42
5/9/16,71.39
5/10/16,69.19
5/11/16,68.54
5/12/16,69.37
5/13/16,70.12
5/14/16,70.83
5/15/16,71.23
5/16/16,71.19
5/17/16,71.37
5/18/16,70.43
5/19/16,70.67
5/20/16,70.88
5/21/16,69.94
5/22/16,70.36
5/23/16,70.6
5/24/16,70.34
5/25/16,70.08
5/26/16,71.67
5/27/16,71.8
5/28/16,71.34
5/29/16,71.08
5/30/16,70.98
5/31/16,71.58
6/1/16,71.82
6/2/16,71.24
6/3/16,69.59
6/4/16,69.54
6/5/16,69.7
6/6/16,69.31
6/7/16,69.26
6/8/16,69.12
6/9/16,68.66
6/10/16,69.06
6/11/16,69.21
6/12/16,68.26
6/13/16,68.71
6/14/16,68.23
6/15/16,68.53
6/16/16,67.97
6/17/16,67.13
6/18/16,68.42
6/19/16,68.11
6/20/16,67.62
6/21/16,67.18
6/22/16,66.65
6/23/16,67.4
6/24/16,66.89
6/25/16,66.73
6/26/16,65.66
6/27/16,66.42
6/28/16,66.74
6/29/16,66.23
6/30/16,66.7
7/1/16,66.5
7/2/16,66.4
7/3/16,66.89
7/4/16,67.81
7/5/16,69.08
7/6/16,68.02
7/7/16,67.77
7/8/16,68.66
7/9/16,68.69
7/10/16,68.87
7/11/16,69.37
7/12/16,71.45
7/13/16,71.71
7/14/16,71.31
7/15/16,72.39
7/16/16,71.74
7/17/16,70.93
7/18/16,70.45
7/19/16,70.76
7/20/16,70.03
7/21/16,69.88
7/22/16,69.87
7/23/16,69.8
7/24/16,69.86
7/25/16,70.1
7/26/16,69.95
7/27/16,70.72
7/28/16,70.58
7/29/16,70.44
7/30/16,69.89
7/31/16,69.98
8/1/16,69.9
8/2/16,70.25
8/3/16,69.86
8/4/16,69.61
8/5/16,69.66
8/6/16,70.32
8/7/16,70.74
8/8/16,71.59
8/9/16,72.08
8/10/16,71.83
8/11/16,72.01
8/12/16,71.65
8/13/16,71.43
8/14/16,72.9
8/15/16,73.06
8/16/16,73.43
8/17/16,73.44
8/18/16,73.15
8/19/16,73.49
8/20/16,73.89
8/21/16,74.07
8/22/16,74.8
8/23/16,74.94
8/24/16,74.78
8/25/16,75.05
8/26/16,75.43
8/27/16,75.44
8/28/16,75.18
8/29/16,75.23
8/30/16,75.52
8/31/16,75.76
9/1/16,76.34
9/2/16,76.5
9/3/16,76.12
9/4/16,76.72
9/5/16,76.7
9/6/16,76.13
9/7/16,75.71
9/8/16,76.29
9/9/16,75.11
9/10/16,75.12
9/11/16,77.54
9/12/16,78.77
9/13/16,78.55
9/14/16,78.49
9/15/16,78.15
9/16/16,78.31
9/17/16,78.13
9/18/16,78.15
9/19/16,78.6
9/20/16,79.81
9/21/16,79.62
9/22/16,80.26
9/23/16,78.93
9/24/16,79.15
9/25/16,78.93
9/26/16,79.42
9/27/16,79.24
9/28/16,79.52
9/29/16,79.9
9/30/16,78.91
10/1/16,75.24
10/2/16,75.5
10/3/16,75.54
10/4/16,76.24
10/5/16,75.52
10/6/16,74.84
10/7/16,75.5
10/8/16,76.01
10/9/16,76.51
10/10/16,75.93
10/11/16,75.68
10/12/16,75.36
10/13/16,75.32
10/14/16,75.47
10/15/16,75.33
10/16/16,73.23
10/17/16,73.47
10/18/16,73.94
10/19/16,75.05
10/20/16,76.34
10/21/16,76.37
10/22/16,76.2
10/23/16,75.87
10/24/16,76.02
10/25/16,76.15
10/26/16,76.89
10/27/16,78.52
10/28/16,78.9
10/29/16,79.78
10/30/16,79.81
10/31/16,79.99
11/1/16,80.5
11/2/16,80.53
11/3/16,80.87
11/4/16,80.48
11/5/16,81.28
11/6/16,81.59
11/7/16,81.61
11/8/16,80.66
11/9/16,80.4
11/10/16,80.7
11/11/16,80.77
11/12/16,80.98
11/13/16,79.7
11/14/16,79.31
11/15/16,79.71
11/16/16,80.02
11/17/16,79.96
11/18/16,78.34
11/19/16,78.63
11/20/16,78.03
11/21/16,78.77
11/22/16,78.54
11/23/16,78.07
11/24/16,78.37
11/25/16,79.8
11/26/16,80.08
11/27/16,80.12
11/28/16,78.88
11/29/16,79.08
11/30/16,79.61
12/1/16,79.86
12/2/16,79.68
12/3/16,80.38
12/4/16,80
12/5/16,80.05
12/6/16,80.5
12/7/16,80.01
12/8/16,79.53
12/9/16,79.15
12/10/16,79.39
12/11/16,79.29
12/12/16,78.95
12/13/16,78.14
12/14/16,78.45
12/15/16,79.22
12/16/16,79.09
12/17/16,79.41
12/18/16,79
12/19/16,80.53
12/20/16,84.13
12/21/16,85.73
12/22/16,86.1
12/23/16,86.62
12/24/16,85.74
12/25/16,85.98
12/26/16,86.22
12/27/16,86.4
12/28/16,87.44
12/29/16,88.65
12/30/16,87.98
12/31/16,88.48
1/1/17,88.62
1/2/17,88.17
1/3/17,86.95
1/4/17,87.31
1/5/17,87.94
1/6/17,88.8
